code_departement,code_commune,nom_commune,piece_bucket,ref_m2,ref_raw,mean_w,n_mut,n_eff,mad_w,p25,p75,surf_med,age_med_j,Loyer,source_level
92,92064,Saint-Cloud,5,7194.86163847051,7194.86163847051,7133.530032304654,61,33.70457421519441,1361.3165021378447,6115.666890273067,7619.047619047618,114.0,471,25.6044477264762,commune
92,92071,Sceaux,1,6476.680445320427,6476.680445320427,6550.497474856019,80,48.43246125686551,1110.41787097538,5601.4572409311795,6974.88663342199,25.0,333,27.466199991468,commune
92,92071,Sceaux,2,6492.93206940797,6492.93206940797,6336.422549455056,49,28.296782953973704,1185.8372128950602,5479.682673943863,7027.477585831892,48.0,511,27.466199991468,commune
92,92071,Sceaux,3,5564.443297244152,5564.443297244152,5761.184566169675,77,38.88208234813837,985.9949316253138,5031.745717308557,6307.992384333024,66.0,323,23.8910725798965,commune
92,92071,Sceaux,4,5654.7619047619055,5654.7619047619055,6188.65597639438,91,50.13820329654291,1267.0927000414868,4972.916666666667,7352.458580894109,84.0,305,23.8910725798965,commune
92,92071,Sceaux,5,6260.952380952376,6260.952380952376,6720.223696533087,39,23.37674088461806,2139.483550937558,5573.369347435533,7826.827377315983,105.0,368,23.8910725798965,commune
92,92072,Sèvres,1,6057.485388170902,6057.485388170902,6292.231295592066,45,26.339237368130913,1056.4856391785288,5569.564441557187,6948.2881169220655,28.0,493,26.5067113385018,commune
92,92072,Sèvres,2,6209.302325581392,6209.302325581392,6134.82232183032,90,45.648660444492506,1013.8895331476498,5430.671077322028,6757.446508748962,47.0,469,26.5067113385018,commune
92,92072,Sèvres,3,5401.338114718218,5401.338114718218,5545.381769841358,147,76.34109640882917,970.2255865400367,4754.931135371106,6156.250000000001,66.0,511,25.0455451822415,commune
92,92072,Sèvres,4,5490.896273990443,5490.896273990443,5498.868066427262,90,47.320570825964374,1142.5369079393934,4506.196506731841,5991.52688607549,81.0,504,25.0455451822415,commune
92,92072,Sèvres,5,6119.988629732814,6119.988629732814,6088.112690028081,33,17.260007981423357,1035.441466903025,4567.993514548143,6591.95624057304,112.0,336,25.0455451822415,commune
92,92073,Suresnes,1,7551.267437660837,7551.267437660837,7449.636252497562,82,41.1625370804785,1236.4010339654108,6424.537313725668,8274.536342497995,27.0,673,29.1607761367268,commune
92,92073,Suresnes,2,6814.99655884801,6814.99655884801,6805.811625136032,157,86.00913644965433,992.1766128340387,6160.24981700914,7522.237684280501,45.0,693,29.1607761367268,commune
92,92073,Suresnes,3,6778.603334699546,6778.603334699546,6727.390940656486,172,88.34850731674254,1112.3253715135047,6062.499999999996,7753.318872582364,65.0,422,25.6867968916423,commune
92,92073,Suresnes,4,7452.9134956654425,7452.9134956654425,7156.00713777279,109,55.1449472387437,1132.6751489159728,6132.340618571729,8156.569596540553,88.0,737,25.6867968916423,commune
92,92073,Suresnes,5,7206.9810876530955,7206.9810876530955,7270.899391958422,30,14.46086005355357,1741.998003218773,6243.255489321129,8878.633810971489,107.0,701,25.6867968916423,commune
92,92075,Vanves,1,6916.0254399921405,6916.0254399921405,7119.725750914442,141,80.26724267838894,980.164558563187,6455.3793735827485,7696.658804332921,24.0,323,28.2393364813726,commune
